id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
47885136,*****OportoHost Campanhã,385619623,Maria,PORTO,Campanhã,41.15132,-8.58579,Entire home/apt,64,2,6,2021-09-07,2.22,6,362,6,79743/AL
47889360,Sunny Eco Garden Hut in downtown Porto,385740410,Carlos,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.15743,-8.6115,Entire home/apt,80,2,26,2021-07-10,3.22,2,322,26,Exempt
47889742,Eco Garden Hut in downtown Porto,391837499,LovelyMemories,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.15645,-8.61068,Entire home/apt,80,2,18,2021-09-30,2.21,10,342,18,Exempt
47896237,GuestReady - Back to Casa de São João,364783572,GuestReady,VILA NOVA DE GAIA,Arcozelo,41.05005,-8.64779,Entire home/apt,50,2,26,2021-09-25,3.20,392,342,26,11233/AL
47896855,GuestReady - Back To Rainha Sta Isabel,364783572,GuestReady,VILA NOVA DE GAIA,Arcozelo,41.04948,-8.6491,Entire home/apt,50,2,11,2021-07-15,2.32,392,356,11,11235/AL
47897055,GuestReady - Back To Casa Santo António,364783572,GuestReady,VILA NOVA DE GAIA,Arcozelo,41.05006,-8.64901,Entire home/apt,50,2,13,2021-07-18,1.74,392,352,13,11234/AL
47915206,Cedofeita Studio 176 - Studio in city center,439661,Peter,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.15118,-8.61713,Entire home/apt,55,2,4,2021-09-06,4,3,351,4,100948/AL
47915720,Cedofeita Apartment 176 - Brand New in city center,439661,Peter,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14986,-8.61617,Entire home/apt,80,2,0,,,3,207,0,100964/AL
47921017,*****OportoHost with terrace/AC Dragão duplex,385619623,Maria,PORTO,Campanhã,41.15707,-8.58398,Entire home/apt,42,2,3,2021-10-12,1.80,6,365,3,11175/AL
47921715,*****OportoHostDragão duplex for 2/ terrace and AC,385619623,Maria,PORTO,Campanhã,41.158051,-8.583508,Entire home/apt,50,2,1,2021-08-28,0.60,6,365,1,11175
47937235,*****OportoHostDragão duplex for 4/ terrace and AC,385619623,Maria,PORTO,Campanhã,41.15766,-8.58286,Entire home/apt,60,2,0,,,6,356,0,11175/AL
47991309,Sunset Flat Santa Catarina - With Air Conditioning,130805492,Marta,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.15655,-8.60508,Entire home/apt,59,2,0,,,25,361,0,114160/AL
48008309,Francos' Relaxing Apartment - longa duração,12474104,Sara,PORTO,Ramalde,41.1644,-8.63531,Entire home/apt,55,28,1,2021-06-01,0.22,3,89,1,19579/AL
48023049,GuestReady - Ray's Penthouse,364783572,GuestReady,VILA NOVA DE GAIA,Mafamude e Vilar do Paraíso,41.12545,-8.60115,Entire home/apt,30,2,5,2021-08-20,1.61,392,94,5,100279/AL
48024048,Pinheiro 22 -Brand new studio in Porto's downtown,387121371,Paulo,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.15018,-8.61405,Entire home/apt,68,2,0,,,1,348,0,101421/AL
48026294,The Cool Executive,387140884,Ivo,PORTO,Lordelo do Ouro e Massarelos,41.152,-8.6286,Entire home/apt,156,4,0,,,1,45,0,64299/AL
48037480,LatinoPorto Marquês - With Air Conditioning,130805492,Marta,PORTO,Bonfim,41.15981,-8.6021,Entire home/apt,49,2,6,2021-09-28,1.57,25,360,6,12345/AL
48038554,CC Downtown Palace - A,386854884,Anna E Caio,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14395,-8.60553,Entire home/apt,115,2,15,2021-09-12,2.92,9,346,15,101374/AL
